gene	source	value
PLIN4	broad	{'gene': 'PLIN4', 'positive_disease_count': 1, 'positive_diseases': 'Sjogren syndrome', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0293811808048105, 'max_abs_delta': 1.0089772461646942}
PLIN4	ibd	{'gene': 'PLIN4', 'ibd_best_raw_p': 0.0387573464125323, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.5591874155867453, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
PLIN4	wave62	{}
PLIN4	wave71	{'gene': 'PLIN4', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.181467, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 1.0; Sjogren syndrome; -1.206250847650037; 0.920009505703422', 'blockers': 'insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'PLIN4'}
SLC39A3	wave110	{'candidate': 'SLC39A3', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
SLC39A3	wave81	{'gene': 'SLC39A3', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'psoriasis', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.3504390439417388, 'ms_p': 0.0598622921599721, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
SLC39A3	wave37	{'gene_symbol': 'SLC39A3', 'n_sgrna': 4, 'median_efficient_lfc': 0.6172106704907449, 'median_noneater_lfc': 0.0739992428757275, 'median_efficient_minus_noneater_lfc': 0.7973819035726755, 's1_median_efficient_lfc': 0.4852784610419702, 's3_median_efficient_lfc': 0.4610467041308703, 's1_median_noneater_lfc': -0.0192082344256716, 's3_median_noneater_lfc': -0.0355540312941402, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.25, 'noneater_p_wilcoxon': 0.875, 'contrast_p_wilcoxon': 0.25, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 1.0, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
SLC39A3	ms	{'gene': 'SLC39A3', 'mean_case': 9.125512057226487, 'mean_control': 8.77507301328475, 'delta_log2': 0.3504390439417388, 'hedges_g': 0.8274451629606473, 'welch_t': 2.019955085641371, 'p': 0.0598622921599721, 'fdr': 0.8989378106274888, 'gene_norm': 'SLC39A3'}
SLC39A3	broad	{'gene': 'SLC39A3', 'positive_disease_count': 1, 'positive_diseases': 'psoriasis', 'negative_disease_count': 1, 'negative_diseases': 'Sjogren syndrome', 'best_p': 0.0303986614514074, 'max_abs_delta': 1.685627845826798}
SLC39A3	ibd	{'gene': 'SLC39A3', 'ibd_best_raw_p': 0.0152686507829148, 'ibd_best_raw_fdr': 0.8074382552314314, 'ibd_best_paired_p': 0.3301485978901627, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
SLC39A3	wave62	{}
SLC39A3	wave71	{'gene': 'SLC39A3', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -0.7, 'raw_channel_points': 0.001304, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 0.0, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 1.0; psoriasis; 0.3504390439417388; 0.920009505703422', 'blockers': 'insufficient_directional_cross_disease_state_support; no_chembl_target; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'SLC39A3'}
YWHAE	wave110	{'candidate': 'YWHAE', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
YWHAE	wave81	{'gene': 'YWHAE', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'type 1 diabetes mellitus', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.114292112036793, 'ms_p': 0.2622980587157738, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
YWHAE	wave37	{'gene_symbol': 'YWHAE', 'n_sgrna': 2, 'median_efficient_lfc': 0.7320108557566672, 'median_noneater_lfc': -0.5359152127113543, 'median_efficient_minus_noneater_lfc': 1.2679260684680216, 's1_median_efficient_lfc': 0.7630256309398402, 's3_median_efficient_lfc': 0.7009960805734943, 's1_median_noneater_lfc': -0.5962418166926726, 's3_median_noneater_lfc': -0.475588608730036, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': nan, 'noneater_p_wilcoxon': nan, 'contrast_p_wilcoxon': nan, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': nan, 'noneater_fdr': nan, 'contrast_fdr': nan, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
YWHAE	ms	{'gene': 'YWHAE', 'mean_case': 11.883960683330194, 'mean_control': 11.7696685712934, 'delta_log2': 0.114292112036793, 'hedges_g': 0.4775111191264636, 'welch_t': 1.157164515959148, 'p': 0.2622980587157738, 'fdr': 0.9049965616313804, 'gene_norm': 'YWHAE'}
YWHAE	broad	{'gene': 'YWHAE', 'positive_disease_count': 1, 'positive_diseases': 'type 1 diabetes mellitus', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0039752022898853, 'max_abs_delta': 0.538063770515306}
YWHAE	ibd	{'gene': 'YWHAE', 'ibd_best_raw_p': 0.1587484768843136, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.0222201904067818, 'ibd_best_paired_fdr': 0.9871932004204595, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
YWHAE	wave62	{}
YWHAE	wave71	{'gene': 'YWHAE', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.32837, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 1.0; type 1 diabetes mellitus; 0.114292112036793', 'blockers': 'too_few_guides; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'YWHAE'}
