gene	selection_reasons	discovery_priority_score	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	in_lipid_lysosomal_myeloid_neighborhood	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score
EPSTI1	four_disease_low_contradiction;top_rank	21.0	4.0	0.0	False	0.4425534478541948	0.1545660129526676	False	2	2	0	2	2	1	1	0	0		t1d_endothelial_cell:0.204,p=0.022;ibd_crohn_myeloid:0.354,p=0.038	ibd_crohn_myeloid|inflammatory_nfkb:0.388,p=0.019;ibd_crohn_myeloid|hla_ii_apc:0.271,p=0.028;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.201,p=0.03;ibd_crohn_myeloid|lipid_loader_repair:0.359,p=0.035;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.357,p=0.037;ibd_crohn_myeloid|complement_phagocytosis:0.349,p=0.042	4
LRRC61	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	False	0.697050672079687	0.5819581822185158	False	3	2	0	3	2	2	1	0	0		ibd_crohn_myeloid:1.66,p=0.019;t1d_stellate_cell:0.361,p=0.031;t1d_ductal_cell:0.358,p=0.033	ibd_crohn_myeloid|hla_ii_apc:1.58,p=0.023;ibd_crohn_myeloid|complement_effector:1.6,p=0.024;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.58,p=0.024;t1d_stellate_cell|complement_effector:0.317,p=0.028;ibd_crohn_myeloid|lipid_loader_repair:1.45,p=0.03;t1d_ductal_cell|complement_phagocytosis:0.374,p=0.032;t1d_stellate_cell|c1q_phagocytic_myeloid:0.35,p=0.032;ibd_crohn_myeloid|complement_phagocytosis:1.42,p=0.037	4
DYNLT1	four_disease_low_contradiction;top_rank	18.104982300677285	4.0	0.0	False	0.0988216463745192	0.7211931205756285	False	3	2	0	3	2	2	1	0	0		ibd_uc_myeloid:0.298,p=0.0093;psoriasis_keratinocyte:0.309,p=0.026;psoriasis_skin_apc:0.503,p=0.039	psoriasis_skin_apc|mif_cd74_receptor_state:0.399,p=0.014;psoriasis_keratinocyte|inflammatory_nfkb:0.266,p=0.024;ibd_uc_myeloid|hla_ii_apc:0.253,p=0.025;psoriasis_skin_apc|complement_phagocytosis:0.503,p=0.026;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.501,p=0.026;psoriasis_skin_apc|hif_nampt_metabolic:0.518,p=0.036;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.208,p=0.048	4
CAPZA1	four_disease_low_contradiction;top_rank	18.10182087261314	4.0	0.0	False	-0.0475030377449154	0.734525172997871	False	2	2	0	2	2	1	1	0	0		psoriasis_skin_stromal:0.455,p=0.0096;ibd_uc_myeloid:0.259,p=0.033	psoriasis_skin_stromal|inflammatory_nfkb:0.452,p=0.0088;psoriasis_skin_stromal|hif_nampt_metabolic:0.454,p=0.01;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.45,p=0.013;psoriasis_skin_stromal|lipid_loader_repair:0.43,p=0.036;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.251,p=0.04	4
COX7A2	four_disease_low_contradiction;top_rank	18.023147201904116	4.0	0.0	False	0.1753693830366742	0.3925186644961553	False	4	2	0	4	2	3	1	0	0		t1d_acinar_cell:0.405,p=0.0012;t1d_stellate_cell:0.257,p=0.019;t1d_ductal_cell:0.219,p=0.02;ibd_uc_stromal:0.301,p=0.024	t1d_stellate_cell|complement_effector:0.344,p=0.00039;t1d_ductal_cell|complement_phagocytosis:0.264,p=0.00092;t1d_ductal_cell|c1q_phagocytic_myeloid:0.224,p=0.0044;t1d_acinar_cell|mif_cd74_receptor_state:0.297,p=0.006;t1d_acinar_cell|lysosomal_apc:0.323,p=0.0073;t1d_acinar_cell|hla_ii_apc:0.304,p=0.0073;t1d_stellate_cell|lysosomal_apc:0.245,p=0.011;ibd_uc_stromal|ifn_apc:0.311,p=0.011	4
TNFRSF11B	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	-0.1831827811733077	0.8077787138916218	False	2	2	0	2	2	1	1	0	0		ibd_uc_stromal:1.41,p=0.03;psoriasis_skin_stromal:0.493,p=0.044	ibd_uc_stromal|complement_effector:1.44,p=0.0021;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.425,p=0.0024;ibd_uc_stromal|lysosomal_apc:1.44,p=0.025;ibd_uc_stromal|ifn_apc:1.36,p=0.027;ibd_uc_stromal|hla_ii_apc:1.41,p=0.03;psoriasis_skin_stromal|inflammatory_nfkb:0.495,p=0.04;psoriasis_skin_stromal|hif_nampt_metabolic:0.478,p=0.044;ibd_uc_stromal|core_lysosomal_lipid:1.23,p=0.048	4
CASP10	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	0.249366701816033	0.2063174319242694	False	2	2	0	2	2	1	1	0	0		psoriasis_keratinocyte:0.429,p=0.022;ibd_uc_epithelial:0.382,p=0.033	ibd_uc_epithelial|lysosomal_apc:0.366,p=0.024;ibd_uc_epithelial|complement_phagocytosis:0.367,p=0.024;ibd_uc_epithelial|lipid_loader_repair:0.393,p=0.027;psoriasis_keratinocyte|inflammatory_nfkb:0.387,p=0.032;ibd_uc_epithelial|core_lysosomal_lipid:0.331,p=0.041	4
LTF	four_disease_low_contradiction;top_rank	17.092246871443304	4.0	0.0	False	-3.3124210879584215	0.0043608765942223	False	2	2	0	2	2	1	1	0	0		sjogren_gland_epithelial:0.475,p=0.029;ibd_crohn_epithelial:0.271,p=0.04	sjogren_gland_epithelial|complement_effector:0.49,p=0.019;sjogren_gland_epithelial|hif_nampt_metabolic:0.494,p=0.02;sjogren_gland_epithelial|lipid_loader_repair:0.489,p=0.023;sjogren_gland_epithelial|lysosomal_apc:0.489,p=0.024;sjogren_gland_epithelial|core_lysosomal_lipid:0.485,p=0.024;sjogren_gland_epithelial|inflammatory_nfkb:0.475,p=0.029;sjogren_gland_epithelial|complement_phagocytosis:0.415,p=0.049;ibd_crohn_epithelial|complement_phagocytosis:0.22,p=0.05	4
CD274	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	0.3544765521359103	0.3282160655447695	False	2	2	0	2	2	1	1	0	0		ibd_crohn_myeloid:0.601,p=0.0045;sjogren_gland_apc:0.466,p=0.023	ibd_crohn_myeloid|hla_ii_apc:0.567,p=0.0061;ibd_crohn_myeloid|complement_effector:0.518,p=0.0067;ibd_crohn_myeloid|lipid_loader_repair:0.548,p=0.0072;sjogren_gland_apc|lysosomal_apc:0.504,p=0.0076;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.512,p=0.0077;sjogren_gland_apc|hif_nampt_metabolic:0.498,p=0.0094;sjogren_gland_apc|mif_cd74_receptor_state:0.507,p=0.011;sjogren_gland_apc|hla_ii_apc:0.494,p=0.012	4
ANGPTL4	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.2766540208550863	0.777588841282817	False	2	2	0	2	2	1	1	0	0		psoriasis_keratinocyte:1.03,p=0.025;ibd_crohn_epithelial:0.348,p=0.033	psoriasis_keratinocyte|inflammatory_nfkb:0.919,p=0.021;ibd_crohn_epithelial|complement_phagocytosis:0.356,p=0.026;ibd_crohn_epithelial|lysosomal_apc:0.347,p=0.033;psoriasis_keratinocyte|hif_nampt_metabolic:0.848,p=0.035;ibd_crohn_epithelial|hla_ii_apc:0.344,p=0.036	4
DNAJB11	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.527981077152857	0.1109266021735256	False	2	2	0	2	2	1	1	0	0		ibd_crohn_epithelial:0.213,p=0.0052;psoriasis_skin_stromal:0.227,p=0.029	ibd_crohn_epithelial|lysosomal_apc:0.201,p=0.0099;ibd_crohn_epithelial|complement_phagocytosis:0.204,p=0.0099;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.201,p=0.013;psoriasis_skin_stromal|lipid_loader_repair:0.213,p=0.025;psoriasis_skin_stromal|inflammatory_nfkb:0.227,p=0.031;psoriasis_skin_stromal|hif_nampt_metabolic:0.222,p=0.04	4
MMP15	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-1.812501370281954	0.0728459543548149	False	2	2	0	2	2	1	1	0	0		psoriasis_keratinocyte:0.27,p=0.0015;ibd_crohn_stromal:0.313,p=0.039	psoriasis_keratinocyte|inflammatory_nfkb:0.241,p=0.01;ibd_crohn_stromal|complement_effector:0.33,p=0.018;ibd_crohn_stromal|lysosomal_apc:0.321,p=0.035;psoriasis_keratinocyte|hif_nampt_metabolic:0.224,p=0.038	4
GALE	four_disease_low_contradiction	16.07973217652301	4.0	0.0	False	-1.0780208820228463	0.2144225112003847	False	2	2	0	2	2	1	1	0	0		psoriasis_keratinocyte:0.505,p=0.00033;ibd_uc_epithelial:0.217,p=0.0085	ibd_uc_epithelial|complement_phagocytosis:0.211,p=0.0065;psoriasis_keratinocyte|inflammatory_nfkb:0.457,p=0.0075;ibd_uc_epithelial|lysosomal_apc:0.21,p=0.008;ibd_uc_epithelial|lipid_loader_repair:0.214,p=0.01;psoriasis_keratinocyte|hif_nampt_metabolic:0.406,p=0.039	4
CCL19	four_disease_low_contradiction	16.0	4.0	0.0	False	-1.29003978913952	0.3974902111744002	False	2	2	0	2	2	1	1	0	0		psoriasis_skin_stromal:0.325,p=0.0069;ibd_crohn_myeloid:1.95,p=0.036	psoriasis_skin_stromal|lipid_loader_repair:0.297,p=0.0022;psoriasis_skin_stromal|hif_nampt_metabolic:0.325,p=0.0069;psoriasis_skin_stromal|inflammatory_nfkb:0.323,p=0.013;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.298,p=0.022;ibd_crohn_myeloid|lipid_loader_repair:1.91,p=0.039;ibd_crohn_myeloid|hla_ii_apc:1.81,p=0.043;ibd_crohn_myeloid|complement_effector:1.81,p=0.048	4
LYZ	top_rank	24.0	3.0	0.0	False	0.0562800383572401	0.8529867596187362	False	5	2	0	5	2	4	1	0	0		t1d_acinar_cell:1.22,p=0.0015;ibd_uc_epithelial:1.85,p=0.0075;t1d_endothelial_cell:0.896,p=0.012;t1d_ductal_cell:0.455,p=0.026;t1d_stellate_cell:1.05,p=0.029	ibd_uc_epithelial|complement_phagocytosis:1.92,p=6.1e-05;t1d_acinar_cell|hla_ii_apc:0.911,p=0.0003;ibd_uc_epithelial|lysosomal_apc:1.91,p=0.00065;t1d_acinar_cell|ifn_apc:0.729,p=0.0021;t1d_acinar_cell|mif_cd74_receptor_state:1.01,p=0.0041;t1d_acinar_cell|lysosomal_apc:0.87,p=0.0049;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.905,p=0.0093;t1d_endothelial_cell|hla_ii_apc:0.875,p=0.013	4
GSTO1	top_rank	17.2029821615393	3.0	0.0	False	0.2862699043732082	0.1871428268819449	False	3	2	0	3	2	1	1	0	0		ibd_uc_myeloid:0.748,p=0.0015;psoriasis_keratinocyte:0.334,p=0.023;ibd_uc_stromal:0.415,p=0.032	ibd_uc_stromal|complement_effector:0.426,p=0.0042;ibd_uc_myeloid|hla_ii_apc:0.566,p=0.0066;ibd_uc_stromal|lysosomal_apc:0.466,p=0.0083;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.569,p=0.0089;ibd_uc_myeloid|lipid_loader_repair:0.51,p=0.011;ibd_uc_stromal|core_lysosomal_lipid:0.417,p=0.018;ibd_uc_myeloid|complement_phagocytosis:0.472,p=0.028;ibd_uc_stromal|ifn_apc:0.421,p=0.031	4
KRT7	top_rank	17.0	3.0	0.0	False			False	2	2	0	2	2	1	1	0	0		ibd_uc_epithelial:0.687,p=0.016;t1d_stellate_cell:0.723,p=0.034	ibd_uc_epithelial|lysosomal_apc:0.706,p=0.0075;t1d_stellate_cell|core_lysosomal_lipid:0.593,p=0.015;ibd_uc_epithelial|complement_phagocytosis:0.69,p=0.016;t1d_stellate_cell|lipid_loader_repair:0.614,p=0.018;t1d_stellate_cell|lysosomal_apc:0.709,p=0.03;t1d_stellate_cell|c1q_phagocytic_myeloid:0.717,p=0.036;t1d_stellate_cell|complement_effector:0.701,p=0.037;ibd_uc_epithelial|lipid_loader_repair:0.493,p=0.037	4
S100P	top_rank	17.0	3.0	0.0	False	-0.9432265448886435	0.3979188540487969	False	3	2	0	3	2	1	1	0	0		ibd_uc_epithelial:1.09,p=0.00073;ibd_uc_myeloid:3.28,p=0.024;psoriasis_keratinocyte:0.414,p=0.035	ibd_uc_epithelial|complement_phagocytosis:1.09,p=0.00066;ibd_uc_epithelial|lysosomal_apc:1.08,p=0.001;ibd_uc_epithelial|lipid_loader_repair:1.03,p=0.0023;ibd_uc_epithelial|core_lysosomal_lipid:0.962,p=0.0053;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.748,p=0.013;ibd_uc_epithelial|c1q_phagocytic_myeloid:0.764,p=0.031;ibd_uc_epithelial|complement_effector:0.73,p=0.032;ibd_uc_myeloid|hla_ii_apc:3.05,p=0.036	4
CTSB	lipid_lysosomal_two_disease;mechanistic_scout	11.16618835278028	2.0	0.0	False	-0.0599954640789519	0.8140537383462653	True	2	1	0	2	1	2	1	0	0		psoriasis_keratinocyte:1.02,p=0.0097;psoriasis_skin_stromal:0.303,p=0.015	psoriasis_skin_stromal|lipid_loader_repair:0.313,p=0.004;psoriasis_skin_stromal|inflammatory_nfkb:0.306,p=0.011;psoriasis_keratinocyte|inflammatory_nfkb:0.84,p=0.012;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.288,p=0.02;psoriasis_keratinocyte|hif_nampt_metabolic:0.914,p=0.031;psoriasis_skin_stromal|hif_nampt_metabolic:0.291,p=0.034	4
SNX10	mechanistic_scout;ms_positive_three_disease;top_rank	22.0	3.0	0.0	True	0.712408223548989	0.0127398445881719	False	2	2	0	2	2	0	0	0	0		ibd_crohn_myeloid:0.825,p=2.5e-05;ibd_uc_myeloid:0.651,p=0.01	ibd_crohn_myeloid|hla_ii_apc:0.801,p=0.00011;ibd_crohn_myeloid|complement_effector:0.745,p=0.00041;ibd_crohn_myeloid|lipid_loader_repair:0.723,p=0.00058;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.744,p=0.00076;ibd_crohn_myeloid|mif_cd74_receptor_state:0.676,p=0.0023;ibd_crohn_myeloid|lysosomal_apc:0.635,p=0.0025;ibd_crohn_myeloid|core_lysosomal_lipid:0.634,p=0.0027;ibd_crohn_myeloid|complement_phagocytosis:0.67,p=0.0032	4
LTA4H	mechanistic_scout;ms_positive_three_disease;top_rank	19.27253730081992	3.0	0.0	True	0.8088474560590342	0.0063566148101549	False	2	2	0	2	2	0	0	0	0		ibd_crohn_myeloid:0.308,p=0.00064;ibd_uc_myeloid:0.472,p=0.0023	ibd_crohn_myeloid|hla_ii_apc:0.291,p=0.0015;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.28,p=0.002;ibd_crohn_myeloid|lipid_loader_repair:0.257,p=0.0028;ibd_crohn_myeloid|complement_effector:0.269,p=0.0034;ibd_crohn_myeloid|complement_phagocytosis:0.261,p=0.0043;ibd_uc_myeloid|hla_ii_apc:0.425,p=0.0067;ibd_crohn_myeloid|mif_cd74_receptor_state:0.243,p=0.0092;ibd_crohn_myeloid|lysosomal_apc:0.215,p=0.014	4
IL2RG	mechanistic_scout;top_rank	18.0	2.0	0.0	True	0.7679981961613978	0.0170189770238671	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.53,p=0.0001;ibd_crohn_myeloid:0.495,p=0.018	ibd_uc_myeloid|hla_ii_apc:0.429,p=0.0019;ibd_uc_myeloid|lipid_loader_repair:0.389,p=0.0038;ibd_crohn_myeloid|hla_ii_apc:0.533,p=0.0041;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.41,p=0.0045;ibd_crohn_myeloid|core_lysosomal_lipid:0.404,p=0.014;ibd_uc_myeloid|complement_phagocytosis:0.335,p=0.017;ibd_uc_myeloid|complement_effector:0.308,p=0.022;ibd_crohn_myeloid|complement_effector:0.48,p=0.023	4
SUB1	four_disease_low_contradiction;top_rank	20.073056897796853	4.0	0.0	False	0.0303632231526425	0.8461992617464025	False	3	2	0	2	1	2	1	0	0		psoriasis_skin_stromal:0.307,p=0.0011;psoriasis_skin_apc:0.556,p=0.035;t1d_acinar_cell:0.252,p=0.042	psoriasis_skin_stromal|inflammatory_nfkb:0.306,p=0.0017;psoriasis_skin_stromal|lipid_loader_repair:0.294,p=0.0029;psoriasis_skin_stromal|hif_nampt_metabolic:0.303,p=0.0035;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.3,p=0.0071;psoriasis_skin_apc|lipid_loader_repair:0.493,p=0.02;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.555,p=0.024;psoriasis_skin_apc|complement_phagocytosis:0.556,p=0.026;psoriasis_skin_apc|mif_cd74_receptor_state:0.479,p=0.045	3
IL23A	four_disease_low_contradiction;mechanistic_scout;top_rank	19.0	4.0	0.0	False	0.6573316951945598	0.0916123649390088	False	2	2	0	1	1	1	1	0	0		ibd_uc_myeloid:0.808,p=0.041;t1d_stellate_cell:0.2,p=0.044	t1d_stellate_cell|lysosomal_apc:0.202,p=0.047	3
PSMA4	four_disease_low_contradiction;top_rank	18.169198436722027	4.0	0.0	False	0.1542598339379122	0.4197115533720868	False	2	2	0	1	1	1	1	0	0		psoriasis_skin_apc:0.402,p=0.0069;ibd_uc_myeloid:0.251,p=0.039	psoriasis_skin_apc|hif_nampt_metabolic:0.377,p=0.0038;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.402,p=0.0051;psoriasis_skin_apc|mif_cd74_receptor_state:0.365,p=0.0053;psoriasis_skin_apc|complement_phagocytosis:0.402,p=0.0062;psoriasis_skin_apc|lipid_loader_repair:0.372,p=0.015;psoriasis_skin_apc|lysosomal_apc:0.322,p=0.029	3
PPIA	five_disease;four_disease_low_contradiction;top_rank	21.024462517773856	5.0	0.0	False	0.0798111319015699	0.5869705544995741	False	1	1	0	1	1	1	1	0	0		t1d_acinar_cell:0.543,p=0.026	t1d_acinar_cell|lysosomal_apc:0.37,p=0.013;t1d_acinar_cell|ifn_apc:0.333,p=0.021;t1d_acinar_cell|hla_ii_apc:0.451,p=0.033;t1d_acinar_cell|complement_phagocytosis:0.426,p=0.042;t1d_acinar_cell|mif_cd74_receptor_state:0.456,p=0.044	3
ITGB4	four_disease_low_contradiction;top_rank	18.10331854274657	4.0	0.0	False	-1.3797347469240266	0.1442983736782742	False	1	1	0	1	1	1	1	0	0		psoriasis_keratinocyte:0.66,p=0.0091	psoriasis_keratinocyte|inflammatory_nfkb:0.566,p=0.032;psoriasis_keratinocyte|hif_nampt_metabolic:0.555,p=0.042	3
IFT43	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	0.1897444533074441	0.4658323993028715	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.242,p=0.0075	psoriasis_skin_stromal|lipid_loader_repair:0.227,p=0.001;psoriasis_skin_stromal|inflammatory_nfkb:0.24,p=0.0045;psoriasis_skin_stromal|hif_nampt_metabolic:0.243,p=0.007;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.225,p=0.0079	3
METAP1	four_disease_low_contradiction;top_rank	17.061500380752353	4.0	0.0	False	0.1760880236986839	0.5494103314772019	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.227,p=0.0075	psoriasis_skin_stromal|inflammatory_nfkb:0.225,p=0.0035;psoriasis_skin_stromal|hif_nampt_metabolic:0.228,p=0.004;psoriasis_skin_stromal|lipid_loader_repair:0.209,p=0.007;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.213,p=0.026	3
ARHGEF28	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.3380808950063811	0.7429489642671361	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.342,p=0.028	psoriasis_skin_stromal|hif_nampt_metabolic:0.324,p=0.0019;psoriasis_skin_stromal|inflammatory_nfkb:0.346,p=0.0043;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.312,p=0.012;psoriasis_skin_stromal|lipid_loader_repair:0.346,p=0.022	3
DDAH1	four_disease_low_contradiction	16.073664199120014	4.0	0.0	False	-0.4185644125606291	0.7856821149198733	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.363,p=0.012	psoriasis_skin_stromal|inflammatory_nfkb:0.368,p=3e-05;psoriasis_skin_stromal|hif_nampt_metabolic:0.344,p=0.0014;psoriasis_skin_stromal|lipid_loader_repair:0.367,p=0.0059;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.341,p=0.021	3
LYPLA1	four_disease_low_contradiction	16.06485995374045	4.0	0.0	False	0.0022955277659946	0.9912163477850076	False	2	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.254,p=0.0029;psoriasis_keratinocyte:0.292,p=0.031	psoriasis_skin_stromal|hif_nampt_metabolic:0.252,p=0.0052;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.25,p=0.0057;psoriasis_skin_stromal|inflammatory_nfkb:0.252,p=0.0068;psoriasis_skin_stromal|lipid_loader_repair:0.242,p=0.014	3
RABGGTB	four_disease_low_contradiction	16.05561514141451	4.0	0.0	False	-0.2234965293033735	0.1878962824017918	False	1	1	0	1	1	1	1	0	0		t1d_stellate_cell:0.417,p=0.041	t1d_stellate_cell|lipid_loader_repair:0.326,p=0.005;t1d_stellate_cell|core_lysosomal_lipid:0.293,p=0.0055;t1d_stellate_cell|lysosomal_apc:0.41,p=0.03;t1d_stellate_cell|complement_effector:0.45,p=0.031;t1d_stellate_cell|core_all:0.251,p=0.031	3
GYS1	four_disease_low_contradiction	16.015168941426314	4.0	0.0	False	-0.1933553648236436	0.4565431819290166	False	1	1	0	1	1	1	1	0	0		psoriasis_keratinocyte:0.487,p=0.029	psoriasis_keratinocyte|hif_nampt_metabolic:0.442,p=0.046;psoriasis_keratinocyte|inflammatory_nfkb:0.383,p=0.047	3
GOLT1B	four_disease_low_contradiction	16.0	4.0	0.0	False	0.1829471381030103	0.3453990585708625	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.211,p=0.021	psoriasis_skin_stromal|lipid_loader_repair:0.218,p=0.0036;psoriasis_skin_stromal|inflammatory_nfkb:0.214,p=0.0066;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.206,p=0.027	3
BICD1	four_disease_low_contradiction	16.0	4.0	0.0	False	-0.1223308019576796	0.8499182945895195	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.263,p=0.0049	psoriasis_skin_stromal|inflammatory_nfkb:0.262,p=0.0023;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.242,p=0.0036;psoriasis_skin_stromal|lipid_loader_repair:0.251,p=0.0076;psoriasis_skin_stromal|hif_nampt_metabolic:0.261,p=0.0079	3
SHISA5	four_disease_low_contradiction	16.0	4.0	0.0	False	-0.0837947727099397	0.6588121759675346	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.216,p=0.033	psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.221,p=0.013;psoriasis_skin_stromal|inflammatory_nfkb:0.214,p=0.018;psoriasis_skin_stromal|hif_nampt_metabolic:0.217,p=0.029	3
CDC42EP1	four_disease_low_contradiction	13.101403812939267	4.0	1.0	False	-0.6598454097801811	0.3996904789448396	False	2	1	0	2	1	2	1	0	0		psoriasis_keratinocyte:0.614,p=0.03;psoriasis_skin_stromal:0.257,p=0.046	psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.216,p=0.014;psoriasis_keratinocyte|inflammatory_nfkb:0.533,p=0.016;psoriasis_keratinocyte|hif_nampt_metabolic:0.506,p=0.04;psoriasis_skin_stromal|inflammatory_nfkb:0.256,p=0.046;psoriasis_skin_stromal|hif_nampt_metabolic:0.255,p=0.049	3
NPTX2	four_disease_low_contradiction	12.0	4.0	1.0	False	-0.4108580115732154	0.6770693013211236	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.245,p=0.0058	psoriasis_skin_stromal|inflammatory_nfkb:0.243,p=0.00051;psoriasis_skin_stromal|lipid_loader_repair:0.234,p=0.0022;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.23,p=0.0025;psoriasis_skin_stromal|hif_nampt_metabolic:0.244,p=0.0065	3
BATF2	four_disease_low_contradiction	12.0	4.0	1.0	False	-1.4663532045609768	0.0465999150990571	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_stromal:0.268,p=0.0024	psoriasis_skin_stromal|inflammatory_nfkb:0.269,p=0.0014;psoriasis_skin_stromal|hif_nampt_metabolic:0.261,p=0.0026;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.244,p=0.013;psoriasis_skin_stromal|lipid_loader_repair:0.259,p=0.022	3
REG3A	top_rank	22.0	3.0	0.0	False			False	4	1	0	4	1	4	1	0	0		t1d_acinar_cell:0.892,p=0.0026;t1d_endothelial_cell:2.02,p=0.0076;t1d_ductal_cell:1.51,p=0.0092;t1d_stellate_cell:2.04,p=0.029	t1d_endothelial_cell|c1q_phagocytic_myeloid:2.05,p=0.0043;t1d_endothelial_cell|hla_ii_apc:1.96,p=0.0066;t1d_endothelial_cell|ifn_apc:1.91,p=0.0081;t1d_endothelial_cell|lysosomal_apc:1.99,p=0.0092;t1d_endothelial_cell|hif_nampt_metabolic:1.97,p=0.0097;t1d_ductal_cell|c1q_phagocytic_myeloid:1.5,p=0.0099;t1d_ductal_cell|complement_phagocytosis:1.42,p=0.011;t1d_ductal_cell|lipid_loader_repair:1.47,p=0.011	3
PRSS22	top_rank	18.0	3.0	0.0	False			False	1	1	0	1	1	1	1	0	0		t1d_stellate_cell:0.427,p=0.023	t1d_stellate_cell|c1q_phagocytic_myeloid:0.42,p=0.021;t1d_stellate_cell|complement_effector:0.399,p=0.024;t1d_stellate_cell|lysosomal_apc:0.422,p=0.033	3
ROMO1	top_rank	17.0	3.0	0.0	False	0.4378196442775728	0.0660650677266765	False	2	1	0	2	1	2	1	0	0		t1d_acinar_cell:0.543,p=0.016;t1d_beta_cell:0.511,p=0.02	t1d_beta_cell|lysosomal_apc:0.446,p=0.001;t1d_acinar_cell|lysosomal_apc:0.44,p=0.014;t1d_beta_cell|hif_nampt_metabolic:0.309,p=0.017;t1d_acinar_cell|ifn_apc:0.385,p=0.019;t1d_acinar_cell|complement_phagocytosis:0.478,p=0.021;t1d_acinar_cell|hla_ii_apc:0.443,p=0.023;t1d_acinar_cell|mif_cd74_receptor_state:0.466,p=0.027	3
MIF	mechanistic_scout	11.07361806582495	2.0	0.0	False	0.1623622066627277	0.6848691966813713	False	3	1	0	3	1	3	1	0	0		t1d_stellate_cell:0.478,p=0.0023;t1d_endothelial_cell:0.368,p=0.031;t1d_acinar_cell:0.614,p=0.034	t1d_stellate_cell|complement_effector:0.606,p=0.0012;t1d_stellate_cell|hif_nampt_metabolic:0.497,p=0.0014;t1d_stellate_cell|c1q_phagocytic_myeloid:0.49,p=0.0022;t1d_stellate_cell|inflammatory_nfkb:0.428,p=0.007;t1d_stellate_cell|lysosomal_apc:0.459,p=0.011;t1d_endothelial_cell|ifn_apc:0.374,p=0.027;t1d_endothelial_cell|hla_ii_apc:0.355,p=0.039;t1d_acinar_cell|lysosomal_apc:0.593,p=0.04	3
