gene	approved_name	wave104_call	wave104_call_priority	wave104_score	wave104_missing_gates	route_hypothesis	manual_route_blocker	prior_or_safety	gate_ms_genetic	gate_cross_autoimmune_genetics	gate_lipid_state_or_recurrence	gate_directional_or_perturbation	gate_reachable_modality	ms_max_l2g_score	ms_max_relevant_qtl_h4	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	relevant_qtl_coloc_disease_count	strong_qtl_coloc_diseases	genetic_disease_count_union	genetic_diseases_union	local_positive_disease_count	local_positive_diseases	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	direct_perturbation	direct_perturbation_detail	foundation_support	model_support_contexts_w57	model_strong_contexts_w57	best_model_context	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	wave62_score	wave62_call	wave83_call	wave91_call	wave103_call	closure_text
FBXL19	F-box and leucine rich repeat protein 19	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0474419186543944	0.9971256078463696	0.0		0		1.563722163438797	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
HINT1	histidine triad nucleotide binding protein 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;Sjogren syndrome;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.8885207819466143	0.920009505703422	0.0	nuclear_regulatory	0		1.809864431619644	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_breadth; not_surface_secreted_extracellular_by_uniprot; no_druggability_route |  |  |  | 
ITGB8	integrin subunit beta 8	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1851599082409372	1.0	0.0	intracellular_other	0		1.7754908800125122	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
LMNB2	lamin B2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0735100038631213	0.9971256078463696	0.0	intracellular_other	0		1.0531072840094566	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
MLKL	mixed lineage kinase domain like pseudokinase	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1046427797245045	1.0	0.0	intracellular_other	0		1.0636076405644417	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
MRPL20	mitochondrial ribosomal protein L20	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.7475027710567426		0.0		0		1.5585576109588146	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
MYL12A	myosin light chain 12A	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.6161763780576249	0.9965506589785832	0.0	intracellular_other	0		1.1520055383443832	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  | 
OPLAH	5-oxoprolinase, ATP-hydrolysing	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0095429234994346	1.0	0.0		0		1.5648579001426697	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
ORMDL2	ORMDL sphingolipid biosynthesis regulator 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.3124584993762108	0.9971256078463696	0.0		0		1.0936933308839798	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
PDIA5	protein disulfide isomerase family A member 5	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.4982577800416808	0.9965506589785832	0.0	intracellular_other	0		1.084481060504913	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
PLAA	phospholipase A2 activating protein	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0282706478892548	1.0	0.0	intracellular_other	0		1.1158821135759354	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
PLSCR1	phospholipid scramblase 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.2095875985249587	1.0	0.0		0		1.1115281209349632	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
PTTG1	PTTG1 regulator of sister chromatid separation, securin	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Sjogren syndrome;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.4386775822658645	0.920009505703422	0.0		0		1.66714046895504	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
RASSF9	Ras association domain family member 9	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1012495243405307	1.0	0.0	intracellular_other	0		1.3205088675022123	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
RDH11	retinol dehydrogenase 11	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.2571532694022693	0.9971256078463696	0.0		0		1.0558493956923485	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
SLC12A2	solute carrier family 12 member 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.4357098647716748	0.9971256078463696	0.0		0		1.0548809058964252	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
SLC38A1	solute carrier family 38 member 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2063700101122974	0.9971256078463696	0.0	intracellular_other	0		1.837240934371948	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
SLC7A1	solute carrier family 7 member 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0970705627279825	0.9971256078463696	0.0		0		1.177550122141838	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
STARD4	StAR related lipid transfer domain containing 4	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.4928809956300557	1.0	0.0		0		1.1120734736323357	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
STEAP2	STEAP2 metalloreductase	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.010971612426915	1.0	0.0		0		1.121845930814743	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
TLE3	TLE family member 3, transcriptional corepressor	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1261266042360391	0.9971256078463696	0.0		0		1.5758746787905693	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
TMA16	translation machinery associated 16 homolog	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	1.1056843174151507	0.920009505703422	0.0	intracellular_other	0		1.0949966087937355	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
UNC13D	unc-13 homolog D	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0254461730263962	1.0	0.0		0		1.0824751183390615	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
WDR27	WD repeat domain 27	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.1499999999999999	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		0		3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.4011209600330969	0.920009505703422	0.0		0		1.5754639357328415	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
ALK	ALK receptor tyrosine kinase	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0125752124473222	1.0	0.0		0		1.276566207408905	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
ANK3	ankyrin 3	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	0		1	1	T1D	2	T1D;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0001643059387506	1.0	0.0		0		1.5423433321503974	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
ANXA11	annexin A11	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0041893268114749	1.0	0.0		0		0.7566100358963013	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
APOF	apolipoprotein F	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	0		1	1	Crohn	2	Crohn;Psoriasis	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1138548640998248	1.0	0.0		0		1.134546605611717	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
BBS9	Bardet-Biedl syndrome 9	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.8320500428383253	0.920009505703422	0.0		0		0.6837243437767029	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CA10	carbonic anhydrase 10 (inactive)	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	Sjogren	0	0		2	AITD;Sjogren	0		False	0	0	0	0	False		False	0.0	0.0					0.0		0		1.2796263694763184	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CCDC91	coiled-coil domain containing 91	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	RA	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.049522177626608	1.0	0.0		0		0.8321506977081299	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CNTN5	contactin 5	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	Sjogren	0	0		2	Sjogren;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2201953078626953	0.9971256078463696	0.0		0		1.251847267150879	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CNTNAP2	contactin associated protein 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	Sjogren	0	0		2	Sjogren;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3454722507388857	0.9971256078463696	0.0		0		1.2722521424293518	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
DMRT2	doublesex and mab-3 related transcription factor 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.4417535592643152	1.0	0.0		0		0.538517951965332	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
DNAH17	dynein axonemal heavy chain 17	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0806006569360586	1.0	0.0		0		0.6586785912513733	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
ENO4	enolase 4	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.089367935962451	0.920009505703422	0.0		0		0.8326060175895691	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
EPHA6	EPH receptor A6	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	Celiac	0	0		2	Celiac;T1D	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2165720986664009	0.9971256078463696	0.0		0		0.5117816925048828	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
FGFR2	fibroblast growth factor receptor 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.5958089746895623	1.0	0.0		0		1.2464483976364136	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
FMN1	formin 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	Sjogren	0	0		2	AITD;Sjogren	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0009814920858225	1.0	0.0		0		0.6953837275505066	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
FRG2C	FSHD region gene 2 family member C	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0					0.0		0		0.7390851974487305	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
FRY	FRY microtubule binding protein	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0100072957514718	1.0	0.0		0		0.7341701984405518	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
GP2	glycoprotein 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	-0.19999999999999996	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	T1D	0	0		2	RA;T1D	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.81895810918581		0.0		0		1.1309040188789368	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
